Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
550.15,1.869,33.95,205.041,176.29,2.440813654,103.48,0.59,680.82,0.825,45.809,3272,2666,2606,595.7,295.642,0.091029,555.821,447.603
550.18,1.757,15.83,273.828,174.74,2.43198027,103.85,0.494,689.5,0.776,44.441,3486,2773,2713,545.8,354.314,0.052293,564.5,420.95
550.58,1.026,21.04,215.63,173.84,2.384164886,94.22,0.502,687.28,1.011,47.926,3185,2847,2787,329.1,221.979,0.42938,562.284,281.093
550.65,2.457,19.55,232.57,173.29,2.528572878,108.23,0.473,683.95,0.976,41.674,3154,2853,2793,767.4,497.278,0.31938,558.951,618.044
550.67,1.539,12.2,212.479,175.01,2.482846071,107.92,0.477,686.18,1.026,43.413,3055,2644,2584,476.4,314.539,0.071308,561.182,358.225
550.77,0.972,30.38,239.546,176.75,2.670119323,106.43,0.498,690.48,0.963,48.292,3404,2700,2640,308.1,171.573,0.31007,561.182,246.442
551.07,2.111,25.04,212.362,173.68,2.504439653,106.7,0.571,694.96,0.742,47.29,3211,2852,2792,664.8,381.787,0.054463,519.963,509.321
551.55,1.098,19.82,252.72,177.05,2.354928445,105.1,0.67,686.13,0.975,48.357,3255,2791,2731,343.3,213.539,0.094714,511.132,266.318
551.62,1.348,24.98,228.339,169.93,2.372186734,92.61,0.712,693.4,0.795,46.883,3318,2735,2675,424.5,270.573,0.43035,518.396,360.687
551.95,1.939,30.19,221.873,174.13,2.268865243,96.78,0.419,687.8,0.878,50.087,3163,2582,2522,616.2,356.509,0.44023,612.802,510.685
552.43,2.344,22.64,213.128,174.77,2.431907347,96.34,0.428,690.07,0.908,48.857,3076,2998,2938,737.2,452.449,0.051304,565.066,584.862
553.72,2.481,24.36,216.576,180.87,2.435244878,100.62,0.425,688.41,0.983,42.704,3273,2859,2799,784,493.698,0.41824,563.41,652.695
553.82,1.707,30.82,258.715,176.02,2.318484379,92.99,0.503,697.45,0.872,41.76,3234,2829,2769,545.1,305.202,0.16522,572.45,441.171
554.33,0.547,19.46,237.502,175.56,2.479673559,103.27,0.439,690.22,0.982,46.864,3195,2721,2661,172,106.582,0.042552,565.22,132.334
555.19,1.388,26.26,250.497,171.97,2.292027572,99.62,0.608,697.34,0.727,51.204,3382,2827,2767,441.1,251.739,0.019945,522.34,341.388
555.82,1.485,21,221.984,174.03,2.543650533,103.37,0.691,686.51,0.719,43.477,3297,2596,2536,469.1,280.327,0.04784,511.51,354.845
555.95,2.134,26.63,236.257,179.84,2.313857982,100.18,0.484,692.81,1.009,42.186,3251,2800,2740,679.6,415.558,0.42384,567.81,566.387
556.31,1.625,22.73,233.246,174.74,2.575913715,105.27,0.569,679.57,1.049,40.901,3231,2604,2544,515,330.061,0.52862,554.57,427.153
556.35,1.753,30.62,199.695,177.07,2.396841313,97.36,0.478,685.42,0.955,44.448,3298,2760,2700,562.1,329.724,0.47043,560.42,475.244
556.7,1.163,16.77,231.963,172.25,2.625742093,98.92,0.61,682.3,1.02,47.939,3059,2808,2748,365.9,259.573,0.45872,507.3,311.874
557.02,0.976,11.28,192.386,174.01,2.367195175,97.1,0.351,687.7,0.852,44.66,3277,2864,2804,305.3,231.079,0.45745,612.7,260.458
557.32,2.027,15.99,242.851,176.34,2.448583967,89.55,0.452,690.27,0.746,47.373,3150,2675,2615,638,454.45,0.37372,615.27,540.947
557.36,1.502,12.72,282.12,168.3,2.442073273,98.41,0.483,684.54,0.932,44.006,3184,2717,2657,470.9,346.599,0.44868,559.54,397.111
558.07,1.234,11.17,196.716,178.32,2.176382953,103.16,0.555,686.44,1.005,43.59,3368,2748,2688,389.4,288.503,0.49881,561.44,324.781
558.16,0.97,24.33,241.251,176.28,2.281150832,97.99,0.607,691.95,0.839,45.747,3437,2738,2678,309.2,197.767,0.4742,566.95,261.354
560.47,0.855,17.78,228.225,177.39,2.249778064,91.6,0.566,685.29,0.757,47.199,3178,2792,2732,271.2,191.149,0.41792,560.29,232.485
